Local Authority District name (2019),IMD_rank_avg,IMD_decile_avg,IMD_rank_std,IMD_decile_std
South Ribble,20209.35714285714,6.7,8477.082161454477,2.628439775260965
South Somerset,17802.456310679612,5.922330097087379,6629.4984635321025,2.0421505407643457
South Staffordshire,21663.852941176472,7.088235294117647,6728.737481686584,2.027683731982058
South Tyneside,10343.813725490196,3.6470588235294117,8935.926128658375,2.6723633580218116
Southampton,11886.256756756757,4.114864864864865,7601.553881715284,2.307997478890878
Southend-on-Sea,16471.803738317758,5.5046728971962615,9979.027377681365,2.994881897616933
Southwark,11546.481927710844,4.024096385542169,6395.488983814736,1.9846434905526271
Spelthorne,20010.083333333332,6.6,6687.190016365002,2.051869755010153
St Albans,26593.172413793105,8.505747126436782,6271.2818155033265,1.8544325479365102
St. Helens,11295.621848739496,3.957983193277311,9122.968156412058,2.732091016373546
Stafford,21757.2125,7.075,8156.971814473816,2.448326734214278
Staffordshire Moorlands,20127.050847457627,6.593220338983051,7579.476199770483,2.275193391308759
Stevenage,15500.134615384615,5.230769230769231,5590.414162737419,1.722007317232804
Stockport,17735.84736842105,5.921052631578948,9764.581756058997,2.934754155783278
Stockton-on-Tees,15477.158333333333,5.208333333333333,10744.591053525162,3.2407485216215344
