code,name,week,pop,deaths.1519,AllCause.20,COVID.20,Other.20,allexcess,excessrate_sum,othexcess_sum,excessrate_mean,othexcess_mean,COVIDrate
E07000116,Tunbridge Wells,25,118054.0,1064.2000000000003,613.0,76.0,537.0,21.599999999999994,18.29671167431853,-54.400000000000006,0.3131592065469783,-0.7060606060606062,0.911241953476863
E07000117,Burnley,25,88527.0,933.1999999999999,556.0,62.0,494.0,44.0,49.70235069526817,-18.000000000000007,1.2322896866595408,0.16666666666666663,1.04402320675322
E07000118,Chorley,25,116821.0,1103.1999999999996,759.0,112.0,647.0,161.99999999999997,138.6736973660558,49.99999999999999,1.9791999829835494,0.6151515151515152,1.45262384072187
E07000119,Fylde,25,79770.0,1078.5999999999997,647.0,93.0,554.0,51.600000000000016,64.68597216998867,-41.399999999999984,1.0826580965731016,-0.4696969696969697,1.6714721490953166
E07000120,Hyndburn,25,80815.0,839.3999999999997,491.0,61.0,430.0,29.600000000000012,36.626863824784934,-31.4,0.45371115098269593,-0.49696969696969695,1.068658496116271
E07000121,Lancaster,25,144246.0,1490.3999999999994,801.0,69.0,732.0,2.000000000000007,1.3865202501283034,-67.0,0.3634363685942244,-0.5060606060606061,0.7142680076418274
E07000122,Pendle,25,91405.0,879.5999999999998,552.0,76.0,476.0,77.80000000000001,85.11569388983101,1.799999999999999,1.5548516177584608,0.2999999999999998,1.226642001216697
E07000123,Preston,25,141818.0,1232.4,816.0,130.0,686.0,133.00000000000006,93.78217151560447,2.999999999999997,1.3333350427372341,-0.033333333333333395,1.3568393463752313
E07000124,Ribble Valley,25,60057.0,599.3999999999999,383.0,27.0,356.0,57.20000000000001,95.2428526233411,30.2,1.1151022690060592,0.3212121212121212,0.5802568368131087
E07000125,Rossendale,25,70895.0,670.5999999999999,420.0,52.0,368.0,62.20000000000002,87.73538331335071,10.200000000000005,1.2566599773031815,0.10303030303030304,1.1113319527171006
E07000126,South Ribble,25,110527.0,1031.0000000000005,614.0,90.0,524.0,59.39999999999999,53.74252445103914,-30.60000000000001,0.7210633573422758,-0.5363636363636365,1.2063417385193957
